"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","inCommunity","annotatedInCommunity","viralTarget"
"134.1","query_1",TRUE,0.0198089751367821,6,2,1,0.5,0.166666666666667,"GO:0046427","hsapien_HuRI_GOBP_EXP","positive regulation of receptor signaling pathway via JAK-STAT",4238,3795,"X","CRLF3","AFMID,CRLF3,DDIT4L,LGALS14,MEI4,NGB,ZNF655","CRLF3,ZNF655","DDIT4L,MEI4"
"134.2","query_1",TRUE,0.0264057295207063,8,2,1,0.5,0.125,"GO:0071158","hsapien_HuRI_GOBP_EXP","positive regulation of cell cycle arrest",4238,2374,"X","CRLF3","AFMID,CRLF3,DDIT4L,LGALS14,MEI4,NGB,ZNF655","CRLF3,ZNF655","DDIT4L,MEI4"
"134.3","query_1",TRUE,0.0362950136012726,11,2,1,0.5,0.0909090909090909,"GO:2000134","hsapien_HuRI_GOBP_EXP","negative regulation of G1/S transition of mitotic cell cycle",4238,2932,"X","ZNF655","AFMID,CRLF3,DDIT4L,LGALS14,MEI4,NGB,ZNF655","CRLF3,ZNF655","DDIT4L,MEI4"
"134.4","query_1",TRUE,0.0428839713247728,13,2,1,0.5,0.0769230769230769,"GO:0000082","hsapien_HuRI_GOBP_EXP","G1/S transition of mitotic cell cycle",4238,3127,"X","CRLF3","AFMID,CRLF3,DDIT4L,LGALS14,MEI4,NGB,ZNF655","CRLF3,ZNF655","DDIT4L,MEI4"
"142.1","query_1",TRUE,0.0346861727229818,1,7,1,0.142857142857143,1,"GO:0061351","hsapien_HuRI_GOBP_EXP","neural precursor cell proliferation",4238,2262,"X","TMEM14B","AGPAT4,AQP6,CDIPT,JAGN1,LEPROTL1,MFF,PLP1,TMEM14B,TMX2","AQP6,CDIPT,JAGN1,MFF,PLP1,TMEM14B,TMX2","MFF,TMEM14B"
"142.2","query_1",TRUE,0.0346861727229818,1,7,1,0.142857142857143,1,"GO:0030223","hsapien_HuRI_GOBP_EXP","neutrophil differentiation",4238,3065,"X","JAGN1","AGPAT4,AQP6,CDIPT,JAGN1,LEPROTL1,MFF,PLP1,TMEM14B,TMX2","AQP6,CDIPT,JAGN1,MFF,PLP1,TMEM14B,TMX2","MFF,TMEM14B"
"142.3","query_1",TRUE,0.0346861727229818,1,7,1,0.142857142857143,1,"GO:0038158","hsapien_HuRI_GOBP_EXP","granulocyte colony-stimulating factor signaling pathway",4238,3260,"X","JAGN1","AGPAT4,AQP6,CDIPT,JAGN1,LEPROTL1,MFF,PLP1,TMEM14B,TMX2","AQP6,CDIPT,JAGN1,MFF,PLP1,TMEM14B,TMX2","MFF,TMEM14B"
"146.1","query_1",TRUE,2.40506938116063e-05,4,3,2,0.666666666666667,0.5,"GO:1903071","hsapien_HuRI_GOBP_EXP","positive regulation of ER-associated ubiquitin-dependent protein catabolic process",4238,654,"X,X","SGTA,UBQLN2","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.2","query_1",TRUE,0.00129823388549347,26,3,2,0.666666666666667,0.0769230769230769,"GO:0030433","hsapien_HuRI_GOBP_EXP","ubiquitin-dependent ERAD pathway",4238,233,"X,X","SGTA,UBQLN2","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.3","query_1",TRUE,0.00849457291175426,1,3,1,0.333333333333333,1,"GO:0061351","hsapien_HuRI_GOBP_EXP","neural precursor cell proliferation",4238,2262,"X","TMEM14B","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.4","query_1",TRUE,0.00849457291175426,1,3,1,0.333333333333333,1,"GO:1900186","hsapien_HuRI_GOBP_EXP","negative regulation of clathrin-dependent endocytosis",4238,5045,"X","UBQLN2","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.5","query_1",TRUE,0.0169851361124294,2,3,1,0.333333333333333,0.5,"GO:1904021","hsapien_HuRI_GOBP_EXP","negative regulation of G protein-coupled receptor internalization",4238,449,"X","UBQLN2","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.6","query_1",TRUE,0.0169851361124294,2,3,1,0.333333333333333,0.5,"GO:0016241","hsapien_HuRI_GOBP_EXP","regulation of macroautophagy",4238,2943,"X","UBQLN2","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.7","query_1",TRUE,0.0169851361124294,2,3,1,0.333333333333333,0.5,"GO:1903070","hsapien_HuRI_GOBP_EXP","negative regulation of ER-associated ubiquitin-dependent protein catabolic process",4238,4145,"X","SGTA","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.8","query_1",TRUE,0.0424327769138051,5,3,1,0.333333333333333,0.2,"GO:2000785","hsapien_HuRI_GOBP_EXP","regulation of autophagosome assembly",4238,806,"X","UBQLN2","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"146.9","query_1",TRUE,0.0424327769138051,5,3,1,0.333333333333333,0.2,"GO:0071816","hsapien_HuRI_GOBP_EXP","tail-anchored membrane protein insertion into ER membrane",4238,2748,"X","SGTA","AGR3,APOC4-APOC2,SGTA,TIMMDC1,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2","SGTA,TMEM14B,UBQLN2"
"183.1","query_1",TRUE,0.00471865026887786,2,2,1,0.5,0.5,"GO:0001867","hsapien_HuRI_GOBP_EXP","complement activation, lectin pathway",4238,4438,"X","KRT1","AL049697.1,KRT1,KRT13,KRT34,KRT75,KRT78,PSMA1,TRIM54,TXLNB,U2AF1L5","KRT1,KRT13","KRT13,TRIM54"
"183.2","query_1",TRUE,0.0141492679548444,6,2,1,0.5,0.166666666666667,"GO:0018149","hsapien_HuRI_GOBP_EXP","peptide cross-linking",4238,1399,"X","KRT1","AL049697.1,KRT1,KRT13,KRT34,KRT75,KRT78,PSMA1,TRIM54,TXLNB,U2AF1L5","KRT1,KRT13","KRT13,TRIM54"
"183.3","query_1",TRUE,0.0188612353719331,8,2,1,0.5,0.125,"GO:0051290","hsapien_HuRI_GOBP_EXP","protein heterotetramerization",4238,1372,"X","KRT1","AL049697.1,KRT1,KRT13,KRT34,KRT75,KRT78,PSMA1,TRIM54,TXLNB,U2AF1L5","KRT1,KRT13","KRT13,TRIM54"
"183.4","query_1",TRUE,0.023570975171755,10,2,1,0.5,0.1,"GO:0001895","hsapien_HuRI_GOBP_EXP","retina homeostasis",4238,5174,"X","KRT1","AL049697.1,KRT1,KRT13,KRT34,KRT75,KRT78,PSMA1,TRIM54,TXLNB,U2AF1L5","KRT1,KRT13","KRT13,TRIM54"
"207.1","query_1",TRUE,0.000435377214653159,5,8,2,0.25,0.4,"GO:0032060","hsapien_HuRI_GOBP_EXP","bleb assembly",4238,337,"X,X","EMP1,PMP22","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,JPH1,MGAM,PLP1,PMP22,SLC18A1,SMIM3,TMEM120B,TMEM14B","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,PLP1,PMP22,TMEM14B","FFAR2,TMEM14B"
"207.2","query_1",TRUE,0.0033703632242592,13,8,2,0.25,0.153846153846154,"GO:0008219","hsapien_HuRI_GOBP_EXP","cell death",4238,5178,"X,X","EMP1,PMP22","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,JPH1,MGAM,PLP1,PMP22,SLC18A1,SMIM3,TMEM120B,TMEM14B","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,PLP1,PMP22,TMEM14B","FFAR2,TMEM14B"
"207.3","query_1",TRUE,0.0128166670764496,25,8,2,0.25,0.08,"GO:0007186","hsapien_HuRI_GOBP_EXP","G protein-coupled receptor signaling pathway",4238,5065,"X,X","FFAR2,GPR42","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,JPH1,MGAM,PLP1,PMP22,SLC18A1,SMIM3,TMEM120B,TMEM14B","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,PLP1,PMP22,TMEM14B","FFAR2,TMEM14B"
"207.4","query_1",TRUE,0.0264275601698902,1,8,1,0.125,1,"GO:0061351","hsapien_HuRI_GOBP_EXP","neural precursor cell proliferation",4238,2262,"X","TMEM14B","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,JPH1,MGAM,PLP1,PMP22,SLC18A1,SMIM3,TMEM120B,TMEM14B","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,PLP1,PMP22,TMEM14B","FFAR2,TMEM14B"
"207.5","query_1",TRUE,0.0264275601698902,1,8,1,0.125,1,"GO:0002752","hsapien_HuRI_GOBP_EXP","cell surface pattern recognition receptor signaling pathway",4238,2566,"X","FFAR2","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,JPH1,MGAM,PLP1,PMP22,SLC18A1,SMIM3,TMEM120B,TMEM14B","ALOX5AP,AQP6,EMP1,FFAR2,GPR42,PLP1,PMP22,TMEM14B","FFAR2,TMEM14B"
"219.1","query_1",TRUE,0.0141576215195829,1,5,1,0.2,1,"GO:0050908","hsapien_HuRI_GOBP_EXP","detection of light stimulus involved in visual perception",4238,145,"X","REEP6","AMIGO2,ARL6IP1,EI24,RABAC1,REEP6,SNX8,TMED8,TMEM14B","ARL6IP1,EI24,REEP6,SNX8,TMEM14B","ARL6IP1,REEP6,TMEM14B"
"219.2","query_1",TRUE,0.0141576215195829,1,5,1,0.2,1,"GO:0061351","hsapien_HuRI_GOBP_EXP","neural precursor cell proliferation",4238,2262,"X","TMEM14B","AMIGO2,ARL6IP1,EI24,RABAC1,REEP6,SNX8,TMED8,TMEM14B","ARL6IP1,EI24,REEP6,SNX8,TMEM14B","ARL6IP1,REEP6,TMEM14B"
"219.3","query_1",TRUE,0.0283018773355832,2,5,1,0.2,0.5,"GO:1903371","hsapien_HuRI_GOBP_EXP","regulation of endoplasmic reticulum tubular network organization",4238,3106,"X","ARL6IP1","AMIGO2,ARL6IP1,EI24,RABAC1,REEP6,SNX8,TMED8,TMEM14B","ARL6IP1,EI24,REEP6,SNX8,TMEM14B","ARL6IP1,REEP6,TMEM14B"
"219.4","query_1",TRUE,0.0283018773355832,2,5,1,0.2,0.5,"GO:1990809","hsapien_HuRI_GOBP_EXP","endoplasmic reticulum tubular network membrane organization",4238,3481,"X","ARL6IP1","AMIGO2,ARL6IP1,EI24,RABAC1,REEP6,SNX8,TMED8,TMEM14B","ARL6IP1,EI24,REEP6,SNX8,TMEM14B","ARL6IP1,REEP6,TMEM14B"
"221.1","query_1",TRUE,0.0103822557810287,11,1,1,1,0.0909090909090909,"GO:0035329","hsapien_HuRI_GOBP_EXP","hippo signaling",4238,2704,"X","AMOT","AMOT,C1orf216,KRT31,KRT36,KRT73,KRT75","AMOT","AMOT,KRT31"
"221.2","query_1",TRUE,0.0113260972156675,12,1,1,1,0.0833333333333333,"GO:0034613","hsapien_HuRI_GOBP_EXP","cellular protein localization",4238,3714,"X","AMOT","AMOT,C1orf216,KRT31,KRT36,KRT73,KRT75","AMOT","AMOT,KRT31"
"221.3","query_1",TRUE,0.0179329872581406,19,1,1,1,0.0526315789473684,"GO:0030334","hsapien_HuRI_GOBP_EXP","regulation of cell migration",4238,1016,"X","AMOT","AMOT,C1orf216,KRT31,KRT36,KRT73,KRT75","AMOT","AMOT,KRT31"
"221.4","query_1",TRUE,0.0226521944313345,24,1,1,1,0.0416666666666667,"GO:0016525","hsapien_HuRI_GOBP_EXP","negative regulation of angiogenesis",4238,4138,"X","AMOT","AMOT,C1orf216,KRT31,KRT36,KRT73,KRT75","AMOT","AMOT,KRT31"
"240.1","query_1",TRUE,0.0132137800849459,1,4,1,0.25,1,"GO:0060628","hsapien_HuRI_GOBP_EXP","regulation of ER to Golgi vesicle-mediated transport",4238,2134,"X","RINT1","ANKRD11,GOLGA6L9,LYSMD1,NAB2,NTAQ1,RINT1,TLE5,TRIM69","ANKRD11,NAB2,RINT1,TLE5","GOLGA6L9,RINT1"
"240.2","query_1",TRUE,0.0132137800849459,1,4,1,0.25,1,"GO:1902504","hsapien_HuRI_GOBP_EXP","regulation of signal transduction involved in mitotic G2 DNA damage checkpoint",4238,4441,"X","RINT1","ANKRD11,GOLGA6L9,LYSMD1,NAB2,NTAQ1,RINT1,TLE5,TRIM69","ANKRD11,NAB2,RINT1,TLE5","GOLGA6L9,RINT1"
"240.3","query_1",TRUE,0.0264182041773846,2,4,1,0.25,0.5,"GO:2000210","hsapien_HuRI_GOBP_EXP","positive regulation of anoikis",4238,1230,"X","TLE5","ANKRD11,GOLGA6L9,LYSMD1,NAB2,NTAQ1,RINT1,TLE5,TRIM69","ANKRD11,NAB2,RINT1,TLE5","GOLGA6L9,RINT1"
"240.4","query_1",TRUE,0.0264182041773846,2,4,1,0.25,0.5,"GO:0048705","hsapien_HuRI_GOBP_EXP","skeletal system morphogenesis",4238,1540,"X","ANKRD11","ANKRD11,GOLGA6L9,LYSMD1,NAB2,NTAQ1,RINT1,TLE5,TRIM69","ANKRD11,NAB2,RINT1,TLE5","GOLGA6L9,RINT1"
"240.5","query_1",TRUE,0.0264182041773846,2,4,1,0.25,0.5,"GO:0016480","hsapien_HuRI_GOBP_EXP","negative regulation of transcription by RNA polymerase III",4238,2410,"X","NAB2","ANKRD11,GOLGA6L9,LYSMD1,NAB2,NTAQ1,RINT1,TLE5,TRIM69","ANKRD11,NAB2,RINT1,TLE5","GOLGA6L9,RINT1"
"266.1","query_1",TRUE,3.91183601334291e-08,4,4,3,0.75,0.75,"GO:1903071","hsapien_HuRI_GOBP_EXP","positive regulation of ER-associated ubiquitin-dependent protein catabolic process",4238,654,"X,X,X","SGTA,UBQLN1,UBQLN2","ANOS1,FZD7,NCALD,SBSN,SGTA,UBQLN1,UBQLN2","FZD7,SGTA,UBQLN1,UBQLN2","SGTA,UBQLN1,UBQLN2"
"266.2","query_1",TRUE,2.53278505625082e-05,26,4,3,0.75,0.115384615384615,"GO:0030433","hsapien_HuRI_GOBP_EXP","ubiquitin-dependent ERAD pathway",4238,233,"X,X,X","SGTA,UBQLN1,UBQLN2","ANOS1,FZD7,NCALD,SBSN,SGTA,UBQLN1,UBQLN2","FZD7,SGTA,UBQLN1,UBQLN2","SGTA,UBQLN1,UBQLN2"
"266.3","query_1",TRUE,0.0292590844738088,1,4,1,0.25,1,"GO:1901340","hsapien_HuRI_GOBP_EXP","negative regulation of store-operated calcium channel activity",4238,4167,"X","UBQLN1","ANOS1,FZD7,NCALD,SBSN,SGTA,UBQLN1,UBQLN2","FZD7,SGTA,UBQLN1,UBQLN2","SGTA,UBQLN1,UBQLN2"
"266.4","query_1",TRUE,0.0292590844738088,1,4,1,0.25,1,"GO:1900186","hsapien_HuRI_GOBP_EXP","negative regulation of clathrin-dependent endocytosis",4238,5045,"X","UBQLN2","ANOS1,FZD7,NCALD,SBSN,SGTA,UBQLN1,UBQLN2","FZD7,SGTA,UBQLN1,UBQLN2","SGTA,UBQLN1,UBQLN2"
"266.5","query_1",TRUE,0.0292590844738088,1,4,1,0.25,1,"GO:0042666","hsapien_HuRI_GOBP_EXP","negative regulation of ectodermal cell fate specification",4238,5234,"X","FZD7","ANOS1,FZD7,NCALD,SBSN,SGTA,UBQLN1,UBQLN2","FZD7,SGTA,UBQLN1,UBQLN2","SGTA,UBQLN1,UBQLN2"
"316.1","query_1",TRUE,0.00778669183577474,1,3,1,0.333333333333333,1,"GO:0010890","hsapien_HuRI_GOBP_EXP","positive regulation of sequestering of triglyceride",4238,1799,"X","APOC4","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.2","query_1",TRUE,0.00778669183577474,1,3,1,0.333333333333333,1,"GO:0061351","hsapien_HuRI_GOBP_EXP","neural precursor cell proliferation",4238,2262,"X","TMEM14B","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.3","query_1",TRUE,0.00778669183577474,1,3,1,0.333333333333333,1,"GO:1900186","hsapien_HuRI_GOBP_EXP","negative regulation of clathrin-dependent endocytosis",4238,5045,"X","UBQLN2","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.4","query_1",TRUE,0.0155697081030602,2,3,1,0.333333333333333,0.5,"GO:1904021","hsapien_HuRI_GOBP_EXP","negative regulation of G protein-coupled receptor internalization",4238,449,"X","UBQLN2","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.5","query_1",TRUE,0.0155697081030602,2,3,1,0.333333333333333,0.5,"GO:0016241","hsapien_HuRI_GOBP_EXP","regulation of macroautophagy",4238,2943,"X","UBQLN2","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.6","query_1",TRUE,0.0311247174029684,4,3,1,0.333333333333333,0.25,"GO:1903071","hsapien_HuRI_GOBP_EXP","positive regulation of ER-associated ubiquitin-dependent protein catabolic process",4238,654,"X","UBQLN2","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.7","query_1",TRUE,0.038896712170988,5,3,1,0.333333333333333,0.2,"GO:2000785","hsapien_HuRI_GOBP_EXP","regulation of autophagosome assembly",4238,806,"X","UBQLN2","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.8","query_1",TRUE,0.0466650348413135,6,3,1,0.333333333333333,0.166666666666667,"GO:2000045","hsapien_HuRI_GOBP_EXP","regulation of G1/S transition of mitotic cell cycle",4238,4633,"X","TMEM14B","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.9","query_1",TRUE,0.0466650348413135,6,3,1,0.333333333333333,0.166666666666667,"GO:0021987","hsapien_HuRI_GOBP_EXP","cerebral cortex development",4238,4656,"X","TMEM14B","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"316.10","query_1",TRUE,0.0466650348413135,6,3,1,0.333333333333333,0.166666666666667,"GO:0070328","hsapien_HuRI_GOBP_EXP","triglyceride homeostasis",4238,5019,"X","APOC4","AGR3,APOC4,SPINT1,TIMMDC1,TMEM14B,UBQLN2","APOC4,TMEM14B,UBQLN2","TMEM14B,UBQLN2"
"377","query_1",TRUE,0.00943507292049284,4,2,1,0.5,0.25,"GO:0032688","hsapien_HuRI_GOBP_EXP","negative regulation of interferon-beta production",4238,4963,"X","REL","ARL16,REL,TCF4,TRAPPC1,TRAPPC2L,TRAPPC3,TRAPPC6A","REL,TCF4","REL,TCF4"
"442","query_1",TRUE,0.0378337792391855,27,7,2,0.285714285714286,0.0740740740740741,"GO:0031334","hsapien_HuRI_GOBP_EXP","positive regulation of protein-containing complex assembly",4238,1431,"X,X","BIK,CLEC7A","ASZ1,BEST1,BIK,C14orf180,CLEC7A,CNIH3,ERGIC3,MS4A13,TMEM14B,TSPO2,VSIR","BEST1,BIK,CLEC7A,CNIH3,TMEM14B,TSPO2,VSIR","ASZ1,TMEM14B"
"469.1","query_1",TRUE,0.00707881075979078,1,2,1,0.5,1,"GO:0071947","hsapien_HuRI_GOBP_EXP","protein deubiquitination involved in ubiquitin-dependent protein catabolic process",4238,2485,"X","ZRANB1","ATP5F1B,BYSL,GOLGA6L9,ZNF17,ZNF438,ZNF599,ZRANB1","ATP5F1B,ZRANB1","BYSL,GOLGA6L9,ZRANB1"
